ID_ISIN,Bloomberg,Yahoo,Industry
FI0009005870,KCR1V FH Equity,KCR1V.HE,Hand/Machine Tools
FI0009000202,KESBV FH Equity,KESBV.HE,Food
US5007541064,KHC UW Equity,KHC,Food
SE0000164626,KINVB SS Equity,KINV-B.ST,Investment Companies
US49456B1017,KMI UN Equity,KMI,Pipelines
FI0009013403,KNEBV FH Equity,KNEBV.HE,Machinery-Diversified
US1912161007,KO UN Equity,KO,Beverages
FI0009004824,KRA1V FH Equity,KRA1V.HE,Chemicals
GB00B8W67662,LBTYA UW Equity,LBTYA,Media
GB00B8W67B19,LBTYK UW Equity,LBTYK,Media
CH0012214059,LHN VX Equity,LHN.VX,Building Materials
US5356781063,LLTC UW Equity,LLTC,Semiconductors
US5324571083,LLY UN Equity,LLY,Pharmaceuticals
US5312298707,LMCA UW Equity,LMCA,Media
US5312298541,LMCK UW Equity,LMCK,Media
US5398301094,LMT UN Equity,LMT,Aerospace/Defense
US5486611073,LOW UN Equity,LOW,Retail
US5128071082,LRCX UW Equity,LRCX,Semiconductors
US53071M8800,LVNTA UW Equity,LVNTA,Internet
US57636Q1040,MA UN Equity,MA,Diversified Finan Serv
DK0010244425,MAERSKA DC Equity,MAERSK-A.CO,Transportation
DK0010244508,MAERSKB DC Equity,MAERSK-B.CO,Transportation
US5719032022,MAR UW Equity,MAR,Lodging
US5770811025,MAT UW Equity,MAT,Toys/Games/Hobbies
US5801351017,MCD UN Equity,MCD,Retail
US6092071058,MDLZ UW Equity,MDLZ,Food
IE00BTN1Y115,MDT UN Equity,MDT,Healthcare-Products
FI0009007835,MEO1V FH Equity,MEO1V.HE,Machinery-Diversified
US59156R1086,MET UN Equity,MET,Insurance
NO0003054108,MHG NO Equity,MHG.OL,Food
US88579Y1010,MMM UN Equity,MMM,Miscellaneous Manufactur
US61174X1090,MNST UW Equity,MNST,Beverages
US02209S1033,MO UN Equity,MO,Agriculture
US61166W1018,MON UN Equity,MON,Chemicals
US58933Y1055,MRK UN Equity,MRK,Pharmaceuticals
US6174464486,MS UN Equity,MS,Banks
US5949181045,MSFT UW Equity,MSFT,Software
US5951121038,MU UW Equity,MU,Semiconductors
NL0011031208,MYL UW Equity,MYL,Pharmaceuticals
NO0010196140,NAS NO Equity,NAS.OL,Airlines
SE0000427361,NDA SS Equity,NDA.ST,Banks
FI0009902530,NDA1V FH Equity,NDA1V.HE,Banks
CH0038863350,NESN VX Equity,NESN.VX,Food
FI0009013296,NESTE FH Equity,NESTE.HE,Oil&Gas
US64110L1061,NFLX UW Equity,NFLX,Internet
NO0005052605,NHY NO Equity,NHY.OL,Mining
US6541061031,NKE UN Equity,NKE,Apparel
NO0003055501,NOD NO Equity,NOD.OL,Semiconductors
FI0009000681,NOKIA FH Equity,NOKIA.HE,Telecommunications
DK0060534915,NOVOB DC Equity,NOVO-B.CO,Pharmaceuticals
FI0009005318,NRE1V FH Equity,NRE1V.HE,Auto Parts&Equipment
US64110D1046,NTAP UW Equity,NTAP,Computers
US67066G1040,NVDA UW Equity,NVDA,Semiconductors
NL0009538784,NXPI UW Equity,NXPI,Semiconductors
DK0060336014,NZYMB DC Equity,NZYM-B.CO,Chemicals
NO0010040611,OPERA NO Equity,OPERA.OL,Software
US68389X1054,ORCL UN Equity,ORCL,Software
NO0003733800,ORK NO Equity,ORK.OL,Food
US67103H1077,ORLY UW Equity,ORLY,Retail
FI0009014377,ORNBV FH Equity,ORNBV.HE,Pharmaceuticals
FI0009014575,OTE1V FH Equity,OTE1V.HE,Machinery-Constr&Mining
FI0009002422,OUT1V FH Equity,OUT1V.HE,Iron/Steel
US6745991058,OXY UN Equity,OXY,Oil&Gas
US7043261079,PAYX UW Equity,PAYX,Software
US6937181088,PCAR UW Equity,PCAR,Auto Manufacturers
US7415034039,PCLN UW Equity,PCLN,Internet
US7134481081,PEP UN Equity,PEP,Beverages
US7170811035,PFE UN Equity,PFE,Pharmaceuticals
US7427181091,PG UN Equity,PG,Cosmetics/Personal Care
NO0010199151,PGS NO Equity,PGS.OL,Oil&Gas Services
NL0000009538,PHIA NA Equity,PHIA.AS,Electronics
US7181721090,PM UN Equity,PM,Agriculture
DK0060252690,PNDORA DC Equity,PNDORA.CO,Retail
US70450Y1038,PYPL UW Equity,PYPL,Commercial Services
US7475251036,QCOM UW Equity,QCOM,Semiconductors
US53071M1045,QVCA UW Equity,QVCA,Retail
NO0010112675,REC NO Equity,REC.OL,Semiconductors
US75886F1075,REGN UW Equity,REGN,Biotechnology
CH0012032048,ROG VX Equity,ROG.VX,Pharmaceuticals
US7782961038,ROST UW Equity,ROST,Retail
US7551115071,RTN UN Equity,RTN,Aerospace/Defense
FI0009003305,SAMAS FH Equity,SAMAS.HE,Insurance
US78388J1060,SBAC UW Equity,SBAC,Engineering&Construction
US8552441094,SBUX UW Equity,SBUX,Retail
NO0003028904,SCHA NO Equity,SCHA.OL,Media
CH0008742519,SCMN VX Equity,SCMN.VX,Telecommunications
BMG7945E1057,SDRL NO Equity,SDRL.OL,Oil&Gas
CH0002497458,SGSN VX Equity,SGSN.VX,Commercial Services
US82968B1035,SIRI UW Equity,SIRI,Media
AN8068571086,SLB UN Equity,SLB,Oil&Gas Services
US8425871071,SO UN Equity,SO,Electric
US8288061091,SPG UN Equity,SPG,REITS
US8589121081,SRCL UW Equity,SRCL,Environmental Control
NO0003053605,STB NO Equity,STB.OL,Insurance
FI0009005961,STERV FH Equity,STERV.HE,Forest Products&Paper
NO0010096985,STL NO Equity,STL.OL,Oil&Gas
IE00B58JVZ52,STX UW Equity,STX,Computers
LU0075646355,SUBC NO Equity,SUBC.OL,Oil&Gas Services
US83088M1027,SWKS UW Equity,SWKS,Semiconductors
US8715031089,SYMC UW Equity,SYMC,Internet
CH0011037469,SYNN VX Equity,SYNN.VX,Chemicals
US00206R1023,T UN Equity,T,Telecommunications
DK0060228559,TDC DC Equity,TDC.CO,Telecommunications
NO0010063308,TEL NO Equity,TEL.OL,Telecommunications
NO0003078800,TGS NO Equity,TGS.OL,Oil&Gas Services
US87612E1064,TGT UN Equity,TGT,Retail
FI0009000277,TIE1V FH Equity,TIE1V.HE,Computers
US8969452015,TRIP UW Equity,TRIP,Internet
US89417E1091,TRV UN Equity,TRV,Insurance
DK0060636678,TRYG DC Equity,TRYG.CO,Insurance
US8923561067,TSCO UW Equity,TSCO,Retail
US88160R1014,TSLA UW Equity,TSLA,Auto Manufacturers
US8873173038,TWX UN Equity,TWX,Media
US8825081040,TXN UW Equity,TXN,Semiconductors
CH0012255151,UHR VX Equity,UHR.VX,Retail
FR0000124711,UL NA Equity,UL.AS,REITS
NL0000009355,UNA NA Equity,UNA.AS,Cosmetics/Personal Care
US91324P1021,UNH UN Equity,UNH,Healthcare-Services
US9078181081,UNP UN Equity,UNP,Transportation
FI0009005987,UPM1V FH Equity,UPM1V.HE,Forest Products&Paper
US9113121068,UPS UN Equity,UPS,Transportation
US9029733048,USB UN Equity,USB,Banks
US9130171096,UTX UN Equity,UTX,Aerospace/Defense
US92826C8394,V UN Equity,V,Diversified Finan Serv
FI4000074984,VALMT FH Equity,VALMT.HE,Machinery-Diversified
US92553P2011,VIAB UW Equity,VIAB,Media
US92857W3088,VOD UW Equity,VOD,Telecommunications
US92345Y1064,VRSK UW Equity,VRSK,Commercial Services
US92532F1003,VRTX UW Equity,VRTX,Biotechnology
DK0010268606,VWS DC Equity,VWS.CO,Energy-Alternate Sources
US92343V1044,VZ UN Equity,VZ,Telecommunications
US9314271084,WBA UW Equity,WBA,Retail
US9581021055,WDC UW Equity,WDC,Computers
DK0010268440,WDH DC Equity,WDH.CO,Healthcare-Products
US9497461015,WFC UN Equity,WFC,Banks
US9668371068,WFM UW Equity,WFM,Food
US9311421039,WMT UN Equity,WMT,Retail
FI0009003727,WRT1V FH Equity,WRT1V.HE,Miscellaneous Manufactur
US9839191015,XLNX UW Equity,XLNX,Semiconductors
US30231G1022,XOM UN Equity,XOM,Oil&Gas
NO0010208051,YAR NO Equity,YAR.OL,Chemicals
US9843321061,YHOO UW Equity,YHOO,Internet
FI0009800643,YTY1V FH Equity,YTY1V.HE,Home Builders
SE0000695876,ALFA SS Equity,ALFA.ST,Miscellaneous Manufactur
SE0007100581,ASSAB SS Equity,ASSA-B.ST,Metal Fabricate/Hardware
BMG067231032,AVANCE NO Equity,AVANCE.OL,Transportation
CH0102484968,BAER VX Equity,BAER.VX,Diversified Finan Serv
FO0000000179,BAKKA NO Equity,BAKKA.OL,Food
US5312297063,BATRA UW Equity,BATRA,Media
US5312298889,BATRK UW Equity,BATRK,Media
US09247X1019,BLK UN Equity,BLK,Diversified Finan Serv
CH0012138530,CSGN VX Equity,CSGN.VX,Banks
US1264081035,CSX UW Equity,CSX,Transportation
US22943F1003,CTRP UW Equity,CTRP,Internet
US2358511028,DHR UN Equity,DHR,Healthcare-Products
US26441C2044,DUK UN Equity,DUK,Electric
FR0000121667,EI FP Equity,EI.PA,Healthcare-Products
FI0009007884,ELISA FH Equity,ELISA.HE,Telecommunications
SE0000103814,ELUXB SS Equity,ELUX-B.ST,Home Furnishings
IE00BJ3V9050,ENDP UW Equity,ENDP,Pharmaceuticals
IT0003128367,ENEL IM Equity,ENEL.MI,Electric
IT0003132476,ENI IM Equity,ENI.MI,Oil&Gas
SE0000108656,ERICB SS Equity,ERIC-B.ST,Telecommunications
US30212P3038,EXPE UW Equity,EXPE,Internet
SE0000422107,FINGB SS Equity,FING-B.ST,Electronics
DE0005785604,FRE GY Equity,FRE.DE,Healthcare-Services
IT0000062072,G IM Equity,G.MI,Insurance
SE0000202624,GETIB SS Equity,GETI-B.ST,Healthcare-Products
SE0000106270,HMB SS Equity,HM-B.ST,Retail
US45337C1027,INCY UW Equity,INCY,Biotechnology
IT0000072618,ISP IM Equity,ISP.MI,Banks
SE0000825820,LUPE SS Equity,LUPE.ST,Oil&Gas
US57772K1016,MXIM UW Equity,MXIM,Semiconductors
BMG667211046,NCLH UW Equity,NCLH,Leisure Time
US65339F1012,NEE UN Equity,NEE,Electric
CH0012005267,NOVN VX Equity,NOVN.VX,Pharmaceuticals
US64110W1027,NTES UW Equity,NTES,Software
SE0000667891,SAND SS Equity,SAND.ST,Hand/Machine Tools
DE0007164600,SAP GY Equity,SAP.DE,Software
SE0000112724,SCAB SS Equity,SCA-B.ST,Cosmetics/Personal Care
NO0010736879,SCHB NO Equity,SCHB.OL,Media
SE0005190238,TEL2B SS Equity,TEL2-B.ST,Telecommunications
SE0000667925,TELIA SS Equity,TLSN.ST,Telecommunications
US8725901040,TMUS UW Equity,TMUS,Telecommunications
CH0244767585,UBSG VX Equity,UBSG.VX,Banks
IT0004781412,UCG IM Equity,UCG.MI,Banks
US90384S3031,ULTA UW Equity,ULTA,Retail
SE0000115446,VOLVB SS Equity,VOLV-B.ST,Auto Manufacturers
CH0011075394,ZURN VX Equity,ZURN.VX,Insurance
